,Missing States
0,Alabama
1,Arkansas
2,Connecticut
3,Delaware
4,Illinois
5,Indiana
6,Iowa
7,Kansas
8,Louisiana
9,Maine
10,Maryland
11,Massachusetts
12,Michigan
13,Minnesota
14,Mississippi
15,Missouri
16,Montana
17,Nebraska
18,New Hampshire
19,New Jersey
20,North Carolina
21,North Dakota
22,Oklahoma
23,Pennsylvania
24,Rhode Island
25,South Carolina
26,South Dakota
27,Tennessee
28,Vermont
29,Virginia
30,West Virginia
31,Wisconsin
32,Wyoming
